1716040.9874,4893990.2958
1716042.6539,4893993.0337
1716042.6539,4893993.0337
1716042.9053185286,4893993.478084617
1716043.1278756089,4893993.937603181
1716043.3206645667,4893994.410383662
1716043.4829,4893994.8945
1716047.2637,4894007.497400001
1716048.2923,4894009.811699999
1716054.4274,4894016.6686
1716061.292,4894022.1602
1716074.2315,4894025.487500001
1716083.1845,4894026.2038
1716092.8554,4894023.8828
1716092.8554,4894023.8828
1716093.203497046,4894023.807427326
1716093.5546,4894023.7476
1716120.1697,4894019.820800001
1716120.1697,4894019.820800001
1716120.5946378482,4894019.769666941
1716121.0217,4894019.7413
1716121.0217,4894019.741299999
1716121.5718069924,4894019.738522423
1716122.12080507,4894019.773544254
1716122.6661000003,4894019.846199999
1716153.5062,4894025.0403
1716150.6414,4894013.008199999
1716150.6413999998,4894013.008199999
1716150.5437132278,4894012.535156721
1716150.474795899,4894012.057074039
1716150.4348999998,4894011.5757
1716148.3002,4893971.015699999
1716088.837,4893982.516799999
1716051.3014,4893989.776699999
1716051.3014,4893989.776699999
1716050.9085010926,4893989.842618078
1716050.5128071664,4893989.888889681
1716050.1153,4893989.9154
1716040.9874,4893990.2958
